iter	MultiClass
0	1.727723203
1	1.682706245
2	1.643204287
3	1.612685009
4	1.58498768
5	1.563670384
6	1.545194798
7	1.529949535
8	1.516958531
9	1.505038034
10	1.493783163
11	1.483827983
12	1.475579313
13	1.469062238
14	1.463146445
15	1.456748123
16	1.451444658
17	1.447339751
18	1.44358064
19	1.44072934
20	1.438212339
21	1.436174185
22	1.433845852
23	1.431591189
24	1.430107788
25	1.428019706
26	1.426331551
27	1.424964225
28	1.423534581
29	1.422406179
30	1.421413361
31	1.420341329
32	1.419569906
33	1.417914471
34	1.417422629
35	1.416842984
36	1.415975427
37	1.415366717
38	1.414764748
39	1.414438591
40	1.413831552
41	1.413744916
42	1.413468823
43	1.412969863
44	1.412555064
45	1.411823052
46	1.411373444
47	1.410531512
48	1.410254916
49	1.409775988
50	1.409384411
51	1.409039975
52	1.40830478
53	1.408061209
54	1.407682127
55	1.407468737
56	1.407084036
57	1.406900054
58	1.406457566
59	1.406314867
60	1.406018293
61	1.405824288
62	1.405692394
63	1.405639031
64	1.405512311
65	1.405255075
66	1.405107393
67	1.404498841
68	1.404195298
69	1.404009004
70	1.403829196
71	1.403552193
72	1.403144236
73	1.402565552
74	1.40219271
75	1.402048659
76	1.401639637
77	1.401519631
78	1.401317044
79	1.401040779
80	1.400912751
81	1.40078099
82	1.400595832
83	1.400469857
84	1.400135962
85	1.399984136
86	1.39961046
87	1.399513593
88	1.399309335
89	1.399263168
90	1.399007871
91	1.398827465
92	1.398738246
93	1.398499263
94	1.398391432
95	1.398179689
96	1.397945899
97	1.397884675
98	1.397751432
99	1.397630574
100	1.397503274
101	1.397412184
102	1.397350464
103	1.397263348
104	1.397175178
105	1.396927281
106	1.39681351
107	1.396604814
108	1.396445884
109	1.396306614
110	1.396159846
111	1.3960392
112	1.395915155
113	1.395542053
114	1.395349679
115	1.395132546
116	1.394990215
117	1.394676283
118	1.394573652
119	1.394482671
120	1.394300191
121	1.394105337
122	1.393949707
123	1.393797407
124	1.393654925
125	1.393450063
126	1.393289859
127	1.393055157
128	1.392937875
129	1.392834216
130	1.392629551
131	1.392553755
132	1.392463382
133	1.3923438
134	1.392211434
135	1.392094843
136	1.391972515
137	1.391916574
138	1.391803983
139	1.391659556
140	1.391491502
141	1.391337296
142	1.391255157
143	1.391110547
144	1.391061252
145	1.390980176
146	1.390907509
147	1.390782607
148	1.390667013
149	1.390520178
150	1.390346214
151	1.390118269
152	1.390048503
153	1.389885726
154	1.389795679
155	1.389692148
156	1.389596246
157	1.389420792
158	1.389299408
159	1.389188559
160	1.389014973
161	1.388927787
162	1.388838267
163	1.388689712
164	1.388650547
165	1.388536955
166	1.388429411
167	1.38835895
168	1.38823289
169	1.388158263
170	1.388086723
171	1.387964789
172	1.387908663
173	1.387809753
174	1.387710477
175	1.387610695
176	1.387496553
177	1.387442736
178	1.387362609
179	1.38722797
180	1.387141433
181	1.387041303
182	1.386933282
183	1.386837603
184	1.386729715
185	1.386678196
186	1.386610283
187	1.386519045
188	1.386464013
189	1.386406888
190	1.386349998
191	1.386207121
192	1.386142666
193	1.386111887
194	1.385997613
195	1.385943166
196	1.385854041
197	1.385784142
198	1.385611157
199	1.385517201
200	1.385432402
201	1.385399448
202	1.385295413
203	1.385196893
204	1.385145058
205	1.385082769
206	1.385009943
207	1.384900198
208	1.384829628
209	1.384782859
210	1.384701999
211	1.384611365
212	1.384564722
213	1.384470252
214	1.384318281
215	1.384228285
216	1.384154358
217	1.384113144
218	1.384028704
219	1.383958961
220	1.383853455
221	1.383813807
222	1.383742513
223	1.383660785
224	1.383607754
225	1.383553037
226	1.383483717
227	1.383436575
228	1.383347039
229	1.383307246
230	1.383264033
231	1.383137995
232	1.383088691
233	1.383008799
234	1.382920519
235	1.382857588
236	1.382778892
237	1.382731672
238	1.382676785
239	1.382585409
240	1.382526664
241	1.382459532
242	1.382355651
243	1.382297005
244	1.382232546
245	1.38211907
246	1.382053145
247	1.381973452
248	1.381908422
249	1.381865946
250	1.381773232
251	1.381729574
252	1.381672108
253	1.381594949
254	1.381531271
255	1.381499124
256	1.381426496
257	1.381351114
258	1.381300784
259	1.381251465
260	1.381146359
261	1.381121462
262	1.381046089
263	1.380950875
264	1.380869022
265	1.380824002
266	1.380744795
267	1.38067516
268	1.380592604
269	1.380561713
270	1.380495787
271	1.380457917
272	1.380393345
273	1.380361568
274	1.380311626
275	1.380267806
276	1.380206715
277	1.380131966
278	1.380081209
279	1.379999277
280	1.379950064
281	1.379862819
282	1.379813841
283	1.379716565
284	1.379632933
285	1.379571636
286	1.379497869
287	1.379456495
288	1.379397934
289	1.379332873
290	1.37926774
291	1.379210687
292	1.379169512
293	1.379117042
294	1.379060581
295	1.378961638
296	1.378881673
297	1.378823131
298	1.378776033
299	1.378699331
300	1.378669049
301	1.378647024
302	1.37859074
303	1.378558294
304	1.378501539
305	1.378429934
306	1.37838356
307	1.378310378
308	1.378275437
309	1.378217337
310	1.378181089
311	1.37811894
312	1.37806311
313	1.37795678
314	1.377911535
315	1.377884486
316	1.377836606
317	1.377789059
318	1.377697501
319	1.377655977
320	1.377632544
321	1.377593844
322	1.377533666
323	1.37747535
324	1.37745088
325	1.377405527
326	1.377347251
327	1.377294864
328	1.377226404
329	1.377193687
330	1.377160497
331	1.377121324
332	1.377062651
333	1.377021263
334	1.376977092
335	1.376938488
336	1.376896032
337	1.376839119
338	1.376796572
339	1.376741577
340	1.376685077
341	1.37663366
342	1.376586441
343	1.376549192
344	1.376520504
345	1.376471178
346	1.376438294
347	1.376385309
348	1.376328816
349	1.376273549
350	1.376231023
351	1.376146219
352	1.376107586
353	1.376056963
354	1.376014548
355	1.375961397
356	1.375902343
357	1.375867575
358	1.375814787
359	1.375780115
360	1.375723092
361	1.375679827
362	1.375639524
363	1.375601127
364	1.375568555
365	1.375543925
366	1.375491437
367	1.375478594
368	1.375432025
369	1.375376904
370	1.375337101
371	1.375289475
372	1.375272367
373	1.375211739
374	1.375161475
375	1.375115705
376	1.375075576
377	1.3750388
378	1.375016529
379	1.374984691
380	1.374914158
381	1.374871262
382	1.37482256
383	1.374765779
384	1.374739994
385	1.374703072
386	1.374646563
387	1.374611925
388	1.374577029
389	1.374531889
390	1.374489188
391	1.374448093
392	1.374400878
393	1.374370736
394	1.374314088
395	1.374272543
396	1.374204963
397	1.374177946
398	1.374147101
399	1.374085607
400	1.374040976
401	1.37399139
402	1.373952587
403	1.373913828
404	1.373843325
405	1.373796863
406	1.373760033
407	1.373729825
408	1.373682581
409	1.373646362
410	1.37359907
411	1.373560883
412	1.373508653
413	1.373492151
414	1.373454526
415	1.37339926
416	1.373357069
417	1.373325084
418	1.37326329
419	1.373217458
420	1.37316675
421	1.373128489
422	1.373101903
423	1.373086742
424	1.373054503
425	1.373027043
426	1.373006299
427	1.372981911
428	1.372936828
429	1.372905139
430	1.372876883
431	1.372836567
432	1.372806454
433	1.372785838
434	1.372762675
435	1.372712244
436	1.372685795
437	1.372635367
438	1.372604847
439	1.372559876
440	1.372537274
441	1.37251215
442	1.372493882
443	1.37245851
444	1.372410993
445	1.372374265
446	1.37233889
447	1.372322456
448	1.372276598
449	1.372246712
450	1.372207192
451	1.372191718
452	1.372146029
453	1.372104828
454	1.372080519
455	1.372028442
456	1.371994064
457	1.371943662
458	1.371909816
459	1.371854872
460	1.371829664
461	1.371765042
462	1.37172613
463	1.371695049
464	1.371667913
465	1.371626906
466	1.371599348
467	1.371569201
468	1.371548672
469	1.371517972
470	1.371477053
471	1.371444129
472	1.371425532
473	1.371397449
474	1.371378014
475	1.371337914
476	1.371294411
477	1.371269753
478	1.371229884
479	1.371199726
480	1.371161439
481	1.37113099
482	1.37108565
483	1.371069866
484	1.371036776
485	1.37100524
486	1.370951846
487	1.370901675
488	1.370878682
489	1.370853237
490	1.370797963
491	1.370761073
492	1.370730058
493	1.370707959
494	1.370685639
495	1.370656258
496	1.370627572
497	1.370587875
498	1.370560017
499	1.370532682
500	1.370494619
501	1.370485847
502	1.370449428
503	1.370430835
504	1.370374855
505	1.370331434
506	1.370316408
507	1.370294477
508	1.370258935
509	1.370230104
510	1.370198959
511	1.37015255
512	1.370128412
513	1.37010992
514	1.370079612
515	1.370045895
516	1.370022804
517	1.369989885
518	1.369959294
519	1.369943159
520	1.369904653
521	1.369880987
522	1.369848314
523	1.369825519
524	1.369780186
525	1.36975665
526	1.36974233
527	1.36971922
528	1.369694005
529	1.369671495
530	1.36961464
531	1.369559932
532	1.369541568
533	1.3695135
534	1.369477729
535	1.369437523
536	1.369400828
537	1.369383922
538	1.369359665
539	1.369322175
540	1.369300576
541	1.369266337
542	1.369227136
543	1.369204317
544	1.369176204
545	1.369150862
546	1.369119455
547	1.369091344
548	1.369066556
549	1.369043384
550	1.369019167
551	1.368988552
552	1.36897677
553	1.368943769
554	1.368889213
555	1.368841007
556	1.36880495
557	1.368791632
558	1.368755306
559	1.368720661
560	1.368681804
561	1.368636977
562	1.368601435
563	1.368568086
564	1.368534142
565	1.368488637
566	1.368465635
567	1.368442998
568	1.368417681
569	1.368377057
570	1.368356747
571	1.368331247
572	1.368309753
573	1.368279764
574	1.368248923
575	1.368233828
576	1.368214229
577	1.368193624
578	1.368177593
579	1.368152039
580	1.368107151
581	1.368081697
582	1.368066069
583	1.368041252
584	1.368021838
585	1.368002267
586	1.367984864
587	1.367963303
588	1.367949451
589	1.367923697
590	1.367882747
591	1.367863243
592	1.367827848
593	1.367794106
594	1.367773567
595	1.367746877
596	1.367724573
597	1.367694051
598	1.367659216
599	1.367643411
600	1.367631395
601	1.367588394
602	1.367559123
603	1.367539237
604	1.367508935
605	1.367496943
606	1.367471589
607	1.367445106
608	1.36742548
609	1.367405108
610	1.367383391
611	1.367361978
612	1.367335113
613	1.367312414
614	1.367283598
615	1.367266517
616	1.367238065
617	1.367204894
618	1.367188602
619	1.367161479
620	1.367135813
621	1.367125083
622	1.367109794
623	1.36707914
624	1.36705785
625	1.367025408
626	1.367004985
627	1.366968482
628	1.366932233
629	1.366915659
630	1.366894091
631	1.366856446
632	1.366832725
633	1.366803378
634	1.366779614
635	1.366745661
636	1.366728862
637	1.36668812
638	1.366671668
639	1.366628874
640	1.366614982
641	1.366587752
642	1.36654904
643	1.366518971
644	1.366499285
645	1.366460781
646	1.366448659
647	1.366419744
648	1.366401633
649	1.366384197
650	1.366363159
651	1.366327372
652	1.366302015
653	1.366280333
654	1.366260683
655	1.366248116
656	1.366223679
657	1.366199989
658	1.366176772
659	1.366160621
660	1.366145747
661	1.366118402
662	1.366107177
663	1.36607757
664	1.366064912
665	1.366039694
666	1.366014611
667	1.365994859
668	1.36597664
669	1.365946502
670	1.365924459
671	1.365901457
672	1.365887022
673	1.365870274
674	1.365843263
675	1.365813684
676	1.365796081
677	1.365773976
678	1.36575451
679	1.365724241
680	1.365688908
681	1.365671901
682	1.365647248
683	1.365630299
684	1.365611772
685	1.36557567
686	1.365558556
687	1.365536107
688	1.365520367
689	1.365500543
690	1.365484788
691	1.365465626
692	1.365444506
693	1.365423478
694	1.365399202
695	1.365376776
696	1.36536061
697	1.365335998
698	1.36531476
699	1.365289061
700	1.365268802
701	1.365252722
702	1.365232473
703	1.36521231
704	1.365188978
705	1.365171697
706	1.36513614
707	1.365117213
708	1.365089062
709	1.365068063
710	1.365050554
711	1.36502883
712	1.365004416
713	1.364971673
714	1.364945334
715	1.364923652
