iter	Passed	Remaining
0	56	56916
1	90	45320
2	126	42194
3	164	41055
4	200	39841
5	234	38819
6	269	38159
7	301	37366
8	332	36625
9	366	36255
10	400	35963
11	433	35696
12	467	35484
13	501	35315
14	532	34975
15	562	34618
16	596	34491
17	629	34354
18	666	34436
19	702	34413
20	733	34213
21	767	34106
22	804	34165
23	839	34124
24	874	34120
25	914	34265
26	951	34295
27	989	34335
28	1019	34151
29	1054	34107
30	1088	34028
31	1122	33961
32	1152	33773
33	1188	33773
34	1222	33707
35	1253	33576
36	1287	33500
37	1320	33440
38	1352	33326
39	1383	33206
40	1415	33108
41	1436	32757
42	1463	32563
43	1493	32439
44	1526	32396
45	1560	32365
46	1594	32324
47	1631	32354
48	1663	32280
49	1698	32269
50	1729	32184
51	1763	32150
52	1796	32103
53	1823	31944
54	1856	31904
55	1886	31794
56	1916	31703
57	1948	31650
58	1986	31688
59	2013	31551
60	2045	31483
61	2078	31441
62	2109	31380
63	2136	31240
64	2168	31194
65	2203	31176
66	2233	31107
67	2269	31108
68	2304	31097
69	2333	31003
70	2362	30910
71	2395	30874
72	2428	30838
73	2462	30813
74	2495	30783
75	2524	30689
76	2559	30682
77	2588	30595
78	2620	30545
79	2652	30501
80	2683	30442
81	2719	30439
82	2752	30411
83	2785	30370
84	2820	30362
85	2848	30274
86	2883	30261
87	2911	30178
88	2944	30142
89	2973	30068
90	3009	30064
91	3041	30022
92	3071	29957
93	3101	29894
94	3135	29872
95	3166	29813
96	3195	29745
97	3221	29654
98	3250	29578
99	3280	29520
100	3312	29480
101	3343	29439
102	3372	29372
103	3399	29286
104	3425	29197
105	3455	29145
106	3484	29081
107	3514	29030
108	3544	28976
109	3572	28901
110	3600	28836
111	3630	28788
112	3660	28729
113	3691	28686
114	3726	28674
115	3758	28639
116	3784	28565
117	3817	28534
118	3844	28462
119	3870	28380
120	3904	28367
121	3936	28327
122	3969	28300
123	4001	28267
124	4031	28222
125	4068	28221
126	4106	28226
127	4140	28207
128	4168	28145
129	4194	28068
130	4222	28009
131	4252	27960
132	4283	27922
133	4311	27866
134	4341	27814
135	4367	27746
136	4393	27677
137	4422	27625
138	4456	27603
139	4490	27584
140	4526	27576
141	4561	27560
142	4591	27517
143	4622	27478
144	4651	27426
145	4686	27412
146	4719	27385
147	4747	27331
148	4776	27282
149	4807	27242
150	4838	27205
151	4872	27184
152	4901	27134
153	4932	27099
154	4960	27043
155	4987	26982
156	5014	26922
157	5043	26878
158	5076	26853
159	5111	26834
160	5144	26808
161	5172	26757
162	5199	26697
163	5229	26658
164	5260	26622
165	5291	26586
166	5320	26540
167	5348	26486
168	5378	26446
169	5406	26397
170	5436	26358
171	5469	26330
172	5496	26277
173	5524	26227
174	5553	26179
175	5580	26128
176	5612	26094
177	5642	26056
178	5672	26016
179	5700	25970
180	5730	25929
181	5758	25883
182	5785	25829
183	5815	25790
184	5851	25778
185	5883	25747
186	5911	25701
187	5940	25658
188	5966	25602
189	5994	25557
190	6025	25521
191	6057	25493
192	6084	25440
193	6111	25392
194	6141	25352
195	6173	25325
196	6207	25304
197	6241	25279
198	6272	25248
199	6301	25205
200	6328	25157
201	6356	25110
202	6385	25068
203	6416	25036
204	6444	24991
205	6472	24948
206	6500	24901
207	6530	24867
208	6557	24818
209	6588	24785
210	6619	24753
211	6649	24714
212	6674	24661
213	6703	24620
214	6732	24579
215	6761	24542
216	6794	24514
217	6825	24483
218	6852	24438
219	6880	24393
220	6909	24356
221	6935	24303
222	6963	24261
223	6992	24223
224	7024	24194
225	7051	24150
226	7079	24108
227	7107	24065
228	7136	24026
229	7164	23984
230	7195	23954
231	7232	23942
232	7262	23905
233	7291	23869
234	7320	23831
235	7346	23784
236	7378	23755
237	7409	23723
238	7436	23678
239	7466	23643
240	7493	23600
241	7522	23560
242	7552	23526
243	7584	23498
244	7615	23469
245	7648	23442
246	7679	23411
247	7707	23370
248	7736	23334
249	7765	23296
250	7800	23277
251	7829	23238
252	7854	23192
253	7883	23154
254	7911	23114
255	7939	23075
256	7971	23045
257	7999	23007
258	8027	22966
259	8053	22922
260	8088	22902
261	8114	22855
262	8181	22927
263	8221	22919
264	8249	22879
265	8281	22853
266	8313	22823
267	8345	22794
268	8376	22763
269	8409	22737
270	8444	22716
271	8480	22697
272	8511	22667
273	8543	22635
274	8572	22600
275	8601	22563
276	8633	22533
277	8664	22502
278	8694	22468
279	8727	22441
280	8760	22416
281	8795	22394
282	8828	22367
283	8860	22338
284	8896	22318
285	8927	22287
286	8970	22284
287	9008	22271
288	9042	22247
289	9076	22222
290	9110	22195
291	9146	22175
292	9180	22151
293	9214	22126
294	9249	22104
295	9282	22077
296	9320	22061
297	9355	22039
298	9389	22014
299	9422	21984
300	9453	21953
301	9483	21919
302	9514	21885
303	9541	21845
304	9571	21811
305	9606	21786
306	9638	21756
307	9671	21728
308	9699	21690
309	9732	21663
310	9763	21631
311	9794	21597
312	9827	21571
313	9859	21540
314	9890	21507
315	9918	21468
316	9951	21441
317	9982	21409
318	10014	21379
319	10045	21345
320	10073	21308
321	10104	21275
322	10140	21255
323	10172	21223
324	10200	21185
325	10232	21156
326	10263	21123
327	10295	21092
328	10327	21062
329	10355	21025
330	10385	20991
331	10416	20958
332	10448	20927
333	10475	20887
334	10503	20849
335	10533	20816
336	10561	20778
337	10593	20747
338	10621	20710
339	10649	20672
340	10677	20635
341	10711	20608
342	10742	20576
343	10771	20540
344	10797	20499
345	10825	20462
346	10854	20427
347	10888	20399
348	10919	20368
349	10954	20343
350	10989	20318
351	11027	20301
352	11066	20283
353	11101	20258
354	11132	20227
355	11168	20203
356	11202	20177
357	11235	20148
358	11269	20121
359	11303	20095
360	11336	20065
361	11370	20039
362	11401	20007
363	11432	19975
364	11465	19947
365	11500	19922
366	11529	19886
367	11559	19852
368	11591	19822
369	11622	19790
370	11654	19758
371	11685	19727
372	11713	19690
373	11744	19657
374	11772	19621
375	11800	19584
376	11828	19546
377	11857	19512
378	11889	19481
379	11918	19445
380	11951	19418
381	11981	19383
382	12008	19346
383	12036	19308
384	12065	19274
385	12097	19243
386	12129	19213
387	12155	19173
388	12184	19138
389	12215	19106
390	12246	19074
391	12280	19046
392	12313	19018
393	12346	18989
394	12376	18956
395	12404	18920
396	12433	18884
397	12466	18855
398	12500	18828
399	12537	18806
400	12569	18776
401	12599	18741
402	12629	18708
403	12662	18680
404	12694	18650
405	12727	18620
406	12758	18589
407	12789	18557
408	12821	18527
409	12853	18496
410	12885	18466
411	12917	18435
412	12947	18402
413	12970	18359
414	12998	18323
415	13029	18291
416	13060	18259
417	13090	18225
418	13122	18196
419	13153	18163
420	13184	18132
421	13216	18102
422	13249	18073
423	13277	18037
424	13306	18003
425	13337	17971
426	13368	17939
427	13399	17907
428	13434	17881
429	13465	17849
430	13496	17818
431	13528	17787
432	13562	17759
433	13598	17734
434	13634	17708
435	13667	17679
436	13696	17646
437	13727	17613
438	13757	17580
439	13788	17548
440	13818	17516
441	13848	17483
442	13878	17449
443	13905	17413
444	13934	17378
445	13961	17341
446	13992	17310
447	14024	17280
448	14059	17253
449	14093	17225
450	14126	17196
451	14156	17162
452	14189	17134
453	14228	17111
454	14259	17079
455	14287	17044
456	14319	17014
457	14349	16981
458	14379	16948
459	14412	16919
460	14444	16888
461	14474	16855
462	14500	16818
463	14530	16785
464	14562	16754
465	14593	16723
466	14625	16692
467	14658	16663
468	14686	16627
469	14714	16593
470	14747	16563
471	14778	16532
472	14810	16500
473	14839	16467
474	14864	16429
475	14893	16395
476	14921	16360
477	14952	16328
478	14984	16298
479	15013	16264
480	15041	16230
481	15071	16197
482	15100	16162
483	15131	16131
484	15163	16101
485	15192	16068
486	15224	16037
487	15256	16006
488	15285	15973
489	15317	15942
490	15349	15911
491	15383	15884
492	15413	15851
493	15440	15815
494	15465	15778
495	15496	15746
496	15564	15752
497	15599	15725
498	15632	15695
499	15673	15673
500	15708	15645
501	15739	15614
502	15774	15586
503	15799	15548
504	15833	15520
505	15869	15493
506	15904	15465
507	15937	15435
508	15972	15407
509	16002	15374
510	16031	15340
511	16061	15308
512	16096	15280
513	16124	15246
514	16157	15216
515	16189	15185
516	16217	15151
517	16245	15116
518	16276	15085
519	16306	15052
520	16337	15020
521	16365	14986
522	16393	14952
523	16421	14917
524	16454	14887
525	16489	14859
526	16521	14828
527	16553	14797
528	16587	14768
529	16618	14737
530	16655	14710
531	16687	14680
532	16718	14648
533	16747	14614
534	16779	14583
535	16811	14553
536	16844	14522
537	16875	14491
538	16905	14459
539	16936	14427
540	16965	14393
541	16993	14359
542	17024	14328
543	17054	14295
544	17084	14263
545	17113	14229
546	17141	14195
547	17168	14160
548	17194	14125
549	17225	14093
550	17256	14062
551	17287	14030
552	17314	13995
553	17342	13961
554	17371	13928
555	17400	13895
556	17433	13865
557	17461	13831
558	17497	13804
559	17531	13774
560	17566	13745
561	17599	13716
562	17630	13684
563	17662	13653
564	17696	13624
565	17728	13594
566	17759	13562
567	17790	13531
568	17827	13503
