Country,League,Season,Date,Homeoraway,Team,TeamGoals,Opponent,OpponentGoals,Favourite,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,ResultBetWin,ResultBetDraw,ResultBetLose
ENGLAND,PREM,20/21,2021/05/23,Away,Chelsea,1,Aston Villa,2,Favourite,Lose,3,1.45,4.6,6.5,-1,-1,5.5
ENGLAND,PREM,20/21,2021/05/23,Home,Fulham,0,Newcastle,2,Favourite,Lose,2,2.05,3.8,3.3,-1,-1,2.3
ENGLAND,PREM,20/21,2021/05/23,Home,Leicester,2,Tottenham,4,Favourite,Lose,6,2,4,3.3,-1,-1,2.3
ENGLAND,PREM,20/21,2021/05/23,Away,Burnley,0,Sheffield United,1,Favourite,Lose,1,2.4,3.6,2.8,-1,-1,1.8
ENGLAND,PREM,20/21,2021/05/23,Home,Wolves,1,Man United,2,Favourite,Lose,3,2.5,3.5,2.7,-1,-1,1.7
ENGLAND,PREM,20/21,2021/05/23,Away,Southampton,0,West Ham,3,NotFavourite,Lose,3,5,4,1.65,-1,-1,0.65
ENGLAND,PREM,20/21,2021/05/23,Away,Brighton,0,Arsenal,2,NotFavourite,Lose,2,5.25,4.33,1.57,-1,-1,0.57
ENGLAND,PREM,20/21,2021/05/23,Away,Everton,0,Man City,5,NotFavourite,Lose,5,6.5,5,1.44,-1,-1,0.44
ENGLAND,PREM,20/21,2021/05/23,Away,West Brom,1,Leeds,3,NotFavourite,Lose,4,6.5,5.25,1.4,-1,-1,0.4
ENGLAND,PREM,20/21,2021/05/23,Away,Crystal Palace,0,Liverpool,2,NotFavourite,Lose,2,15,8.5,1.14,-1,-1,0.14
ENGLAND,PREM,20/21,2021/05/23,Home,Arsenal,2,Brighton,0,Favourite,Win,2,1.57,4.33,5.25,0.57,-1,-1
ENGLAND,PREM,20/21,2021/05/23,Home,Aston Villa,2,Chelsea,1,NotFavourite,Win,3,6.5,4.6,1.45,5.5,-1,-1
ENGLAND,PREM,20/21,2021/05/23,Home,Leeds,3,West Brom,1,Favourite,Win,4,1.4,5.25,6.5,0.4,-1,-1
ENGLAND,PREM,20/21,2021/05/23,Home,Liverpool,2,Crystal Palace,0,Favourite,Win,2,1.14,8.5,15,0.14,-1,-1
ENGLAND,PREM,20/21,2021/05/23,Home,Man City,5,Everton,0,Favourite,Win,5,1.44,5,6.5,0.44,-1,-1
ENGLAND,PREM,20/21,2021/05/23,Home,Sheffield United,1,Burnley,0,NotFavourite,Win,1,2.8,3.6,2.4,1.8,-1,-1
ENGLAND,PREM,20/21,2021/05/23,Home,West Ham,3,Southampton,0,Favourite,Win,3,1.65,4,5,0.65,-1,-1
ENGLAND,PREM,20/21,2021/05/23,Away,Newcastle,2,Fulham,0,NotFavourite,Win,2,3.3,3.8,2.05,2.3,-1,-1
ENGLAND,PREM,20/21,2021/05/23,Away,Tottenham,4,Leicester,2,NotFavourite,Win,6,3.3,4,2,2.3,-1,-1
ENGLAND,PREM,20/21,2021/05/23,Away,Man United,2,Wolves,1,NotFavourite,Win,3,2.7,3.5,2.5,1.7,-1,-1
SPAIN,LALIGA,20/21,2021/05/23,Away,Alaves,0,Sevilla,1,NotFavourite,Lose,1,6.5,4.33,1.5,-1,-1,0.5
SPAIN,LALIGA,20/21,2021/05/23,Home,Granada,0,Getafe,0,NotFavourite,Draw,0,2.62,3.4,2.6,-1,2.4,-1
SPAIN,LALIGA,20/21,2021/05/23,Home,Sevilla,1,Alaves,0,Favourite,Win,1,1.5,4.33,6.5,0.5,-1,-1
SPAIN,LALIGA,20/21,2021/05/23,Away,Getafe,0,Granada,0,Favourite,Draw,0,2.6,3.4,2.62,-1,2.4,-1
SPAIN,LALIGA,20/21,2021/05/22,Home,Celta,2,Betis,3,NotFavourite,Lose,5,3.2,3.8,2.1,-1,-1,1.1
SPAIN,LALIGA,20/21,2021/05/22,Away,Ath Bilbao,0,Elche,2,NotFavourite,Lose,2,3.8,3.6,1.95,-1,-1,0.95
SPAIN,LALIGA,20/21,2021/05/22,Home,Eibar,0,Barcelona,1,NotFavourite,Lose,1,4.33,4.75,1.65,-1,-1,0.65
SPAIN,LALIGA,20/21,2021/05/22,Home,Osasuna,0,Sociedad,1,NotFavourite,Lose,1,5,4.33,1.61,-1,-1,0.61
SPAIN,LALIGA,20/21,2021/05/22,Away,Villarreal,1,Real Madrid,2,NotFavourite,Lose,3,6.5,5,1.4,-1,-1,0.4
SPAIN,LALIGA,20/21,2021/05/22,Home,Valladolid,1,Ath Madrid,2,NotFavourite,Lose,3,9,5.25,1.33,-1,-1,0.33
SPAIN,LALIGA,20/21,2021/05/22,Home,Elche,2,Ath Bilbao,0,Favourite,Win,2,1.95,3.6,3.8,0.95,-1,-1
SPAIN,LALIGA,20/21,2021/05/22,Home,Huesca,0,Valencia,0,Favourite,Draw,0,1.65,4.2,5,-1,3.2,-1
SPAIN,LALIGA,20/21,2021/05/22,Home,Real Madrid,2,Villarreal,1,Favourite,Win,3,1.4,5,6.5,0.4,-1,-1
SPAIN,LALIGA,20/21,2021/05/22,Away,Betis,3,Celta,2,Favourite,Win,5,2.1,3.8,3.2,1.1,-1,-1
SPAIN,LALIGA,20/21,2021/05/22,Away,Barcelona,1,Eibar,0,Favourite,Win,1,1.65,4.75,4.33,0.65,-1,-1
SPAIN,LALIGA,20/21,2021/05/22,Away,Valencia,0,Huesca,0,NotFavourite,Draw,0,5,4.2,1.65,-1,3.2,-1
SPAIN,LALIGA,20/21,2021/05/22,Away,Sociedad,1,Osasuna,0,Favourite,Win,1,1.61,4.33,5,0.61,-1,-1
SPAIN,LALIGA,20/21,2021/05/22,Away,Ath Madrid,2,Valladolid,1,Favourite,Win,3,1.33,5.25,9,0.33,-1,-1
GERMANY,BUND,20/21,2021/05/22,Home,Wolfsburg,2,Mainz,3,Favourite,Lose,5,1.6,4.2,5.25,-1,-1,4.25
GERMANY,BUND,20/21,2021/05/22,Away,RB Leipzig,1,Union Berlin,2,Favourite,Lose,3,2.2,3.75,3,-1,-1,2
GERMANY,BUND,20/21,2021/05/22,Home,Stuttgart,0,Bielefeld,2,Favourite,Lose,2,2.37,3.75,2.75,-1,-1,1.75
GERMANY,BUND,20/21,2021/05/22,Home,Werder Bremen,2,M'gladbach,4,NotFavourite,Lose,6,2.7,4,2.37,-1,-1,1.37
GERMANY,BUND,20/21,2021/05/22,Away,Freiburg,1,Ein Frankfurt,3,NotFavourite,Lose,4,3.1,4.33,2,-1,-1,1
GERMANY,BUND,20/21,2021/05/22,Away,Hertha,1,Hoffenheim,2,NotFavourite,Lose,3,3.8,3.8,1.9,-1,-1,0.9
