Country,League,Season,Date,Team,Homeoraway,TeamOdds,TeamScore,Opponent,OpponentOdds,OpponentScore,Result,Favourite,TotalScorePred,TotalScore,ResultBetWin,ResultBetLose,TotalfromPred,TeamWinPred,TeamScorePred,ScoredfromPred,OpponentWinPred,OpponentScorePred,ReceivedfromPred
USA,NBA,20/21,2020/12/22,Golden State Warriors,Away,3.61,99,Brooklyn Nets,1.31,125,Lose,NotFavourite,228,224,-1,0.31,-4,42%,112,-13,58%,116,9
USA,NBA,20/21,2020/12/22,Los Angeles Clippers,Away,2.16,116,Los Angeles Lakers,1.74,109,Win,NotFavourite,220,225,1.16,-1,5,40%,108,8,60%,112,-3
USA,NBA,20/21,2020/12/22,Brooklyn Nets,Home,1.31,125,Golden State Warriors,3.61,99,Win,Favourite,228,224,0.31,-1,-4,58%,116,9,42%,112,-13
USA,NBA,20/21,2020/12/22,Los Angeles Lakers,Home,1.74,109,Los Angeles Clippers,2.16,116,Lose,Favourite,220,225,-1,1.16,5,60%,112,-3,40%,108,8
USA,NBA,20/21,2020/12/23,Atlanta Hawks,Away,1.8,124,Chicago Bulls,2.06,104,Win,Favourite,226,228,0.8,-1,2,41%,111,13,59%,115,-11
USA,NBA,20/21,2020/12/23,Charlotte Hornets,Away,1.66,114,Cleveland Cavaliers,2.29,121,Lose,Favourite,218,235,-1,1.29,17,46%,108,6,54%,110,11
USA,NBA,20/21,2020/12/23,Dallas Mavericks,Away,2.01,102,Phoenix Suns,1.84,106,Lose,NotFavourite,230,208,-1,0.84,-22,40%,113,-11,60%,117,-11
USA,NBA,20/21,2020/12/23,Detroit Pistons,Away,2.79,101,Minnesota Timberwolves,1.47,111,Lose,NotFavourite,222,212,-1,0.47,-10,42%,109,-8,58%,113,-2
USA,NBA,20/21,2020/12/23,Miami Heat,Away,1.51,107,Orlando Magic,2.66,113,Lose,Favourite,221,220,-1,1.66,-1,56%,112,-5,44%,109,4
USA,NBA,20/21,2020/12/23,Milwaukee Bucks,Away,1.54,121,Boston Celtics,2.59,122,Lose,Favourite,221,243,-1,1.59,22,38%,108,13,62%,113,9
