Country,League,Season,Date,Homeoraway,Team,HTTeamGoals,TeamGoals,TeamShots,TeamShotsOnTarget,TeamFouls,TeamCorners,TeamYellow,TeamRed,Opponent,HTOpponentGoals,OpponentGoals,OpponentShots,OpponentShotOnTarget,OpponentFouls,OpponentCorners,OpponentYellow,OpponentRed,FavouriteResult,HTResult,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,OddsOver2.5Goals,OddsUnder2.5Goals,FavouriteOU2.5,ResultBetWin,ResultBetDraw,ResultBetLose,ResultBetOver2.5,ResultBetUnder2.5
ITALY,SERIAA,20/21,30/09/20,Home,Udinese,0,0,10,5,13,2,0,0,Spezia,1,2,4,3,17,2,5,1,Favourite,Lose,Lose,2,1.6,3.75,5.75,2,1.8,FavUnder,-1,-1,4.75,-1,0.8
ITALY,SERIAA,20/21,02/10/20,Home,Fiorentina,0,1,16,6,11,8,0,0,Sampdoria,1,2,14,10,16,4,3,0,Favourite,Lose,Lose,3,1.61,4,5.25,1.66,2.2,FavOver,-1,-1,4.25,0.66,-1
ITALY,SERIAA,20/21,26/09/20,Home,Sampdoria,2,2,5,4,17,6,3,0,Benevento,1,3,11,6,12,4,1,0,Favourite,Win,Lose,5,2,3.6,3.6,1.8,2,FavOver,-1,-1,2.6,0.8,-1
ITALY,SERIAA,20/21,18/10/20,Home,Torino,1,2,10,6,14,2,2,1,Cagliari,2,3,9,7,16,4,3,0,Favourite,Lose,Lose,5,2.1,3.5,3.4,1.9,1.9,FavOver,-1,-1,2.4,0.9,-1
ITALY,SERIAA,20/21,17/10/20,Away,Lazio,0,0,8,1,10,3,2,0,Sampdoria,2,3,11,8,12,3,2,0,Favourite,Lose,Lose,3,2.15,3.5,3.3,1.66,2.2,FavOver,-1,-1,2.3,0.66,-1
ITALY,SERIAA,20/21,04/10/20,Away,Bologna,0,0,13,7,15,10,1,0,Benevento,0,1,6,3,13,4,2,0,Favourite,Draw,Lose,1,2.2,3.6,3.1,1.66,2.2,FavOver,-1,-1,2.1,-1,1.2
ITALY,SERIAA,20/21,17/10/20,Home,Inter,1,1,12,6,18,3,3,0,Milan,2,2,8,4,11,5,4,0,Favourite,Lose,Lose,3,2.3,3.5,3,1.72,2.1,FavOver,-1,-1,2,0.72,-1
ITALY,SERIAA,20/21,04/10/20,Away,Verona,0,0,8,5,19,6,1,0,Parma,1,1,7,5,11,7,1,0,Favourite,Lose,Lose,1,2.62,3.1,2.87,2.1,1.72,FavUnder,-1,-1,1.87,-1,0.72
ITALY,SERIAA,20/21,27/09/20,Away,Udinese,0,0,14,6,13,9,0,0,Verona,0,1,8,2,13,1,1,0,NotFavourite,Draw,Lose,1,2.8,3,2.7,2.3,1.61,FavUnder,-1,-1,1.7,-1,0.61
ITALY,SERIAA,20/21,30/09/20,Home,Lazio,0,1,11,8,16,7,7,0,Atalanta,3,4,8,6,11,3,2,0,NotFavourite,Lose,Lose,5,2.55,3.5,2.55,1.53,2.5,FavOver,-1,-1,1.55,0.53,-1
ITALY,SERIAA,20/21,17/10/20,Away,Atalanta,0,1,11,3,23,2,3,0,Napoli,4,4,18,14,12,6,1,0,NotFavourite,Lose,Lose,5,2.55,3.8,2.5,1.44,2.75,FavOver,-1,-1,1.5,0.44,-1
ITALY,SERIAA,20/21,18/10/20,Home,Bologna,2,3,11,7,20,7,2,0,Sassuolo,1,4,20,12,12,11,2,0,NotFavourite,Win,Lose,7,2.9,3.6,2.3,1.53,2.5,FavOver,-1,-1,1.3,0.53,-1
