in,AwayTeam,HomeTeam,AwayOdds,HomeOdds,AwayScore,HomeScore
tEOKqchD,Chicago Bulls,Milwaukee Bucks,3.3,1.36,118,112
jq6B6KaQ,Minnesota Timberwolves,Dallas Mavericks,3.26,1.37,136,121
hhhw2v8s,New Orleans Pelicans,Los Angeles Lakers,4.55,1.22,98,110
lKon0Ixf,Oklahoma City Thunder,Los Angeles Clippers,3.75,1.29,117,112
fHlfbd76,Portland Trail Blazers,Denver Nuggets,1.26,4.06,132,116
xtvacGMC,Sacramento Kings,Utah Jazz,6.55,1.13,99,121
rJ238tVD,Detroit Pistons,Miami Heat,2.33,1.65,107,120
fcQCoJN0,Atlanta Hawks,Houston Rockets,1.33,3.49,124,95
2NPGpww7,Brooklyn Nets,Cleveland Cavaliers,1.09,8.11,123,109
rsojaxh0,Philadelphia 76ers,Orlando Magic,1.4,3.09,128,117
dM6770pK,Golden State Warriors,Memphis Grizzlies,1.62,2.4,113,101
GWx3dzxJ,San Antonio Spurs,Phoenix Suns,2.22,1.71,121,123
ATnr1bNm,New York Knicks,Boston Celtics,1.12,6.98,96,92
OzqJ2Bbh,Toronto Raptors,Indiana Pacers,2.98,1.42,113,125
2LfA4XTu,Washington Wizards,Charlotte Hornets,1.36,3.27,115,110
2aoYh1VQ,Milwaukee Bucks,Miami Heat,1.6,2.44,122,108
KvYalLwr,Minnesota Timberwolves,Boston Celtics,1.51,2.68,108,124
G6R8na8f,San Antonio Spurs,Phoenix Suns,5.69,1.16,103,140
6XiPfN0E,Brooklyn Nets,Chicago Bulls,1.14,6.2,105,91
O8nUgsGK,Indiana Pacers,Los Angeles Lakers,4.1,1.26,115,122
Ysx4mugl,New York Knicks,Charlotte Hornets,1.44,2.91,118,109
StgLe3o8,Golden State Warriors,New Orleans Pelicans,1.88,1.98,125,122
tCgE3iqn,Dallas Mavericks,Toronto Raptors,1.07,10.15,114,110
GhnzYag1,Houston Rockets,Los Angeles Clippers,3.58,1.32,122,115
Sj6hsOuj,Memphis Grizzlies,Sacramento Kings,1.62,2.38,107,106
Q3gNz29r,Detroit Pistons,Denver Nuggets,4.09,1.26,91,104
YTdVYuve,Oklahoma City Thunder,Utah Jazz,10.45,1.06,93,109
fwbRZLOl,Philadelphia 76ers,Orlando Magic,1.07,9.71,122,97
vTpTJZQR,Washington Wizards,Cleveland Cavaliers,1.23,4.41,120,105
E3O1yErd,Phoenix Suns,Portland Trail Blazers,1.76,2.14,118,117
SSDns4WE,Chicago Bulls,Toronto Raptors,1.19,5.05,114,102
6Dw1i83c,Memphis Grizzlies,Sacramento Kings,1.27,4.01,116,110
KtPcxfTk,Minnesota Timberwolves,Denver Nuggets,2.12,1.76,103,114
hWvJqxyG,Atlanta Hawks,Orlando Magic,1.11,7.45,116,93
M5qNrdjM,Miami Heat,Philadelphia 76ers,1.87,1.99,106,94
nNRiEaoi,New York Knicks,San Antonio Spurs,1.52,2.65,102,98
WGjAob63,Charlotte Hornets,Los Angeles Clippers,4.06,1.26,90,113
EutFpIL9,Indiana Pacers,Milwaukee Bucks,4.55,1.22,133,142
Ktm6nvic,Los Angeles Lakers,Houston Rockets,1.21,4.78,124,122
6waONfEd,Utah Jazz,Portland Trail Blazers,1.91,1.95,98,105
f3TMS986,Dallas Mavericks,New Orleans Pelicans,1.21,4.68,125,107
YornsqFH,Brooklyn Nets,San Antonio Spurs,1.51,2.68,128,116
AB5FPGqp,Cleveland Cavaliers,Boston Celtics,3.0,1.42,102,94
vPrrrPaB,Atlanta Hawks,Washington Wizards,1.36,3.29,120,116
46jVpRFh,Golden State Warriors,Phoenix Suns,2.62,1.53,122,116
QLvvq5p5,Los Angeles Lakers,New York Knicks,1.72,2.2,101,99
rckZqoVb,Sacramento Kings,Oklahoma City Thunder,1.23,4.47,122,106
AVySo70n,Milwaukee Bucks,Orlando Magic,1.06,10.68,114,102
6HBHR3FU,Chicago Bulls,Brooklyn Nets,2.63,1.53,107,115
hE7DSq0O,Indiana Pacers,Philadelphia 76ers,2.76,1.48,103,94
WvwOnmot,Memphis Grizzlies,Dallas Mavericks,2.35,1.64,133,104
OYFdWR0a,Boston Celtics,Miami Heat,2.03,1.84,121,129
Y5ErrpH8,Toronto Raptors,Los Angeles Clippers,8.04,1.1,96,115
AyHD0tHi,Charlotte Hornets,Denver Nuggets,3.0,1.42,112,117
K095U5VB,Detroit Pistons,Minnesota Timberwolves,3.46,1.34,100,119
IyDlYmWn,Golden State Warriors,Utah Jazz,2.08,1.8,119,116
UBGhX7og,Portland Trail Blazers,Houston Rockets,1.06,10.49,140,129
zDNqZTGt,San Antonio Spurs,Milwaukee Bucks,3.41,1.34,146,125
Y3yIwA8P,Memphis Grizzlies,New Orleans Pelicans,1.21,4.69,115,110
plrzFQVO,Atlanta Hawks,Washington Wizards,1.28,3.86,125,124
6cqWF6GI,Cleveland Cavaliers,Indiana Pacers,4.53,1.23,102,111
AVkNHSo6,Los Angeles Lakers,Phoenix Suns,3.21,1.38,123,110
OYgRGn1C,Sacramento Kings,Oklahoma City Thunder,1.23,4.48,126,98
G8jJI8Wa,Detroit Pistons,Chicago Bulls,4.51,1.23,96,108
IFyELAns,Charlotte Hornets,New Orleans Pelicans,1.66,2.31,110,112
d6zIKU1m,Cleveland Cavaliers,Dallas Mavericks,5.16,1.19,97,124
xIiFJlHg,Orlando Magic,Minnesota Timberwolves,3.56,1.32,96,128
0zknQjvQ,Los Angeles Clippers,New York Knicks,1.3,3.72,100,106
foInRdX1,Boston Celtics,Miami Heat,1.89,1.97,124,130
bB4m5k20,Denver Nuggets,Brooklyn Nets,2.36,1.64,119,125
6y8e3TWC,Golden State Warriors,Oklahoma City Thunder,1.09,8.32,136,97
pS6a2mnJ,Portland Trail Blazers,San Antonio Spurs,1.42,3.0,124,102
x23i49H6,Utah Jazz,Houston Rockets,1.05,11.37,124,116
fFFvqQ12,Toronto Raptors,Memphis Grizzlies,3.11,1.4,99,109
I1du7BXm,Indiana Pacers,Washington Wizards,2.53,1.56,132,133
GnFr6Vnf,Philadelphia 76ers,Detroit Pistons,1.23,4.47,118,104
4fG4DDfK,Phoenix Suns,New York Knicks,1.37,3.26,128,105
MVA9CX9Q,Portland Trail Blazers,Los Angeles Lakers,1.3,3.73,106,101
Ovcy8iIs,Sacramento Kings,San Antonio Spurs,2.6,1.54,104,113
Q3H0EguE,Utah Jazz,Denver Nuggets,1.57,2.51,127,120
C0TIkA2D,Dallas Mavericks,Cleveland Cavaliers,1.17,5.43,110,90
xry6hCIf,Charlotte Hornets,Orlando Magic,1.31,3.61,122,112
GYZ9iWX0,Miami Heat,Minnesota Timberwolves,1.3,3.75,121,112
bcPEjjm7,Milwaukee Bucks,Houston Rockets,1.04,13.05,141,133
zH1qpBws,Chicago Bulls,Boston Celtics,2.5,1.57,121,99
jRxbfYmr,Philadelphia 76ers,New Orleans Pelicans,1.14,6.38,109,107
dQKPCt49,Golden State Warriors,Oklahoma City Thunder,1.09,8.2,118,97
ATOTB0JF,Los Angeles Clippers,Los Angeles Lakers,1.27,4.05,118,94
OCMHE2Zd,Detroit Pistons,Memphis Grizzlies,4.5,1.23,111,97
23LLDMl3,Indiana Pacers,Atlanta Hawks,3.05,1.41,133,126
newZkJdd,Dallas Mavericks,Brooklyn Nets,2.25,1.68,113,109
hfN5zYc2,Toronto Raptors,Washington Wizards,2.11,1.78,129,131
rDHKpX5O,Charlotte Hornets,Chicago Bulls,2.54,1.56,99,120
vkladLJS,Denver Nuggets,New York Knicks,1.62,2.4,113,97
EsuRiuSq,Utah Jazz,San Antonio Spurs,1.38,3.22,126,94
Sp7w1q5c,Atlanta Hawks,Phoenix Suns,1.95,1.9,135,103
l0enaNZ9,Houston Rockets,Philadelphia 76ers,9.37,1.07,115,135
A9dr03K3,Indiana Pacers,Sacramento Kings,1.4,3.07,93,104
6LXnvbTt,Milwaukee Bucks,Washington Wizards,1.58,2.49,135,134
rN4975y5,Minnesota Timberwolves,Memphis Grizzlies,2.39,1.62,135,139
