,Date,Team,Homeoraway,TeamWinPred,TeamScorePred,TeamOdds,TeamScore,Opponent,OpponentWinPred,OpponentScorePred,OpponentOdds,OpponentScore,GameTotal,Result,BetWinResult,Favourite,ScoredfromPred,ReceivedfromPred
1,2020.12.22,Golden State Warriors,Away,42%,112,3.61,99,Brooklyn Nets,58%,116,1.31,125,224,Lose,-1,NotFav,-13,9
2,2020.12.22,Los Angeles Clippers,Away,40%,108,2.16,116,Los Angeles Lakers,60%,112,1.74,109,225,Win,1.16,NotFav,8,-3
3,2020.12.22,Brooklyn Nets,Home,58%,116,1.31,125,Golden State Warriors,42%,112,3.61,99,224,Win,0.31,Favourite,9,-13
4,2020.12.22,Los Angeles Lakers,Home,60%,112,1.74,109,Los Angeles Clippers,40%,108,2.16,116,225,Lose,-1,Favourite,-3,8
5,2020.12.23,Atlanta Hawks,Away,41%,111,1.8,124,Chicago Bulls,59%,115,2.06,104,228,Win,0.8,Favourite,13,-11
6,2020.12.23,Charlotte Hornets,Away,46%,108,1.66,114,Cleveland Cavaliers,54%,110,2.29,121,235,Lose,-1,Favourite,6,11
7,2020.12.23,Dallas Mavericks,Away,40%,113,2.01,102,Phoenix Suns,60%,117,1.84,106,208,Lose,-1,NotFav,-11,-11
8,2020.12.23,Detroit Pistons,Away,42%,109,2.79,101,Minnesota Timberwolves,58%,113,1.47,111,212,Lose,-1,NotFav,-8,-2
9,2020.12.23,Miami Heat,Away,56%,112,1.51,107,Orlando Magic,44%,109,2.66,113,220,Lose,-1,Favourite,-5,4
10,2020.12.23,Milwaukee Bucks,Away,38%,108,1.54,121,Boston Celtics,62%,113,2.59,122,243,Lose,-1,Favourite,13,9
11,2020.12.23,New Orleans Pelicans,Away,32%,109,2.42,113,Toronto Raptors,68%,116,1.6,99,212,Win,1.42,NotFav,4,-17
12,2020.12.23,New York Knicks,Away,32%,105,3.62,107,Indiana Pacers,68%,112,1.31,121,228,Lose,-1,NotFav,2,9
13,2020.12.23,Sacramento Kings,Away,37%,111,3.58,124,Denver Nuggets,63%,116,1.31,122,246,Win,2.58,NotFav,13,6
14,2020.12.23,San Antonio Spurs,Away,44%,113,2.09,131,Memphis Grizzlies,56%,116,1.77,119,250,Win,1.09,NotFav,18,3
15,2020.12.23,Utah Jazz,Away,47%,114,1.81,120,Portland Trail Blazers,53%,116,2.05,100,220,Win,0.81,Favourite,6,-16
16,2020.12.23,Washington Wizards,Away,32%,109,3.47,107,Philadelphia 76ers,68%,116,1.33,113,220,Lose,-1,NotFav,-2,-3
17,2020.12.23,Chicago Bulls,Home,59%,115,2.06,104,Atlanta Hawks,41%,111,1.8,124,228,Lose,-1,NotFav,-11,13
18,2020.12.23,Cleveland Cavaliers,Home,54%,110,2.29,121,Charlotte Hornets,46%,108,1.66,114,235,Win,1.29,NotFav,11,6
19,2020.12.23,Phoenix Suns,Home,60%,117,1.84,106,Dallas Mavericks,40%,113,2.01,102,208,Win,0.84,Favourite,-11,-11
20,2020.12.23,Minnesota Timberwolves,Home,58%,113,1.47,111,Detroit Pistons,42%,109,2.79,101,212,Win,0.47,Favourite,-2,-8
21,2020.12.23,Orlando Magic,Home,44%,109,2.66,113,Miami Heat,56%,112,1.51,107,220,Win,1.66,NotFav,4,-5
22,2020.12.23,Boston Celtics,Home,62%,113,2.59,122,Milwaukee Bucks,38%,108,1.54,121,243,Win,1.59,NotFav,9,13
23,2020.12.23,Toronto Raptors,Home,68%,116,1.6,99,New Orleans Pelicans,32%,109,2.42,113,212,Lose,-1,Favourite,-17,4
24,2020.12.23,Indiana Pacers,Home,68%,112,1.31,121,New York Knicks,32%,105,3.62,107,228,Win,0.31,Favourite,9,2
25,2020.12.23,Denver Nuggets,Home,63%,116,1.31,122,Sacramento Kings,37%,111,3.58,124,246,Lose,-1,Favourite,6,13
26,2020.12.23,Memphis Grizzlies,Home,56%,116,1.77,119,San Antonio Spurs,44%,113,2.09,131,250,Lose,-1,Favourite,3,18
27,2020.12.23,Portland Trail Blazers,Home,53%,116,2.05,100,Utah Jazz,47%,114,1.81,120,220,Lose,-1,NotFav,-16,6
28,2020.12.23,Philadelphia 76ers,Home,68%,116,1.33,113,Washington Wizards,32%,109,3.47,107,220,Win,0.33,Favourite,-3,-2
29,2020.12.25,Brooklyn Nets,Away,38%,111,1.66,123,Boston Celtics,62%,116,2.3,95,218,Win,0.66,Favourite,12,-21
30,2020.12.25,Dallas Mavericks,Away,39%,110,3.22,115,Los Angeles Lakers,61%,114,1.37,138,253,Lose,-1,NotFav,5,24
31,2020.12.25,Golden State Warriors,Away,21%,108,5.15,99,Milwaukee Bucks,79%,118,1.18,138,237,Lose,-1,NotFav,-9,20
32,2020.12.25,Los Angeles Clippers,Away,56%,115,1.6,121,Denver Nuggets,44%,112,2.42,108,229,Win,0.6,Favourite,6,-4
33,2020.12.25,New Orleans Pelicans,Away,48%,112,2.28,98,Miami Heat,52%,113,1.67,111,209,Lose,-1,NotFav,-14,-2
