iter	RMSE
0	3728.004338
1	3503.399108
2	3289.1743
3	3093.189087
4	2903.651302
5	2733.115581
6	2572.781622
7	2424.560502
8	2292.988846
9	2171.335738
10	2055.754248
11	1948.607383
12	1852.079771
13	1759.719704
14	1676.137955
15	1600.111019
16	1529.632019
17	1465.224023
18	1406.600424
19	1350.79089
20	1300.787444
21	1253.770806
22	1209.370325
23	1169.511516
24	1132.3131
25	1098.405517
26	1067.637265
27	1040.706424
28	1013.014026
29	986.4375193
30	962.7003346
31	942.2349245
32	923.667904
33	904.0302895
34	886.7609383
35	869.5696227
36	854.3154151
37	840.1388976
38	827.8096454
39	816.7194688
40	805.855553
41	793.769947
42	783.7588569
43	773.7312437
44	764.8551283
45	757.7526447
46	749.7876776
47	742.0641701
48	736.7325403
49	730.0141477
50	725.3309125
51	719.9314521
52	714.4391889
53	709.2357066
54	705.7234889
55	700.543153
56	695.7215879
57	692.342279
58	689.2043084
59	685.5807267
60	683.0436302
61	679.6516105
62	677.0445596
63	675.0353472
64	672.5332347
65	668.5876412
66	666.5356946
67	663.8217984
68	660.9626616
69	658.4840006
70	656.1635514
71	654.2317553
72	650.9467128
73	648.0167055
74	646.2051516
75	644.4255091
76	642.6460925
77	639.5228557
78	638.6142185
79	636.7020394
80	635.1871652
81	633.1282506
82	631.439065
83	629.0580261
84	627.1170717
85	626.1469141
86	624.5238314
87	622.8114153
88	621.4606782
89	620.253417
90	618.6448517
91	617.1510316
92	615.5562647
93	614.6906609
94	612.4766685
95	610.269803
96	609.3346842
97	608.5422697
98	607.2423838
99	605.1139074
100	603.5970967
101	602.2123718
102	601.0757085
103	600.2480082
104	598.2083445
105	597.0554559
106	595.849782
107	595.1380166
108	594.1928346
109	593.0825281
110	592.5789585
111	592.0704089
112	591.4599519
113	590.6939574
114	590.1243876
115	589.2843638
116	588.143207
117	587.3736318
118	586.5544728
119	585.7912258
120	584.6078553
121	583.1545167
122	582.4967794
123	581.8008187
124	580.4560491
125	579.9462581
126	578.7653598
127	578.2402473
128	577.6111612
129	577.2016936
130	576.5197394
131	575.9079866
132	574.2723026
133	573.4492705
134	572.4062868
135	571.0528026
136	570.2845914
137	569.7484502
138	569.3703625
139	568.9127924
140	568.4702724
141	568.0543601
142	567.5811621
143	566.2862685
144	565.5904554
145	564.8856921
146	564.450797
147	563.8068327
148	563.5179789
149	562.5693917
150	561.9080203
151	561.5685747
152	561.34948
153	560.3703839
154	559.8076956
155	558.9987805
156	558.4649308
157	558.0048505
158	556.9882103
159	556.7328044
160	556.2193066
161	555.8215123
162	555.5001409
163	555.1909013
164	554.6395225
165	554.2006163
166	553.2406489
167	552.6042926
168	552.3738038
169	551.6339512
170	551.037097
171	550.4560681
172	550.1337478
173	549.5749422
174	549.1932793
175	548.9840681
176	548.6869161
177	548.1284899
178	547.7467071
179	547.4134671
180	546.9639468
181	546.6135169
182	546.3652355
183	546.0857712
184	545.8475311
185	545.6579911
186	545.006331
187	544.80405
188	544.598613
189	544.2221556
190	544.0772325
191	543.4719672
192	543.1057634
193	542.7147908
194	542.5247722
195	542.2164721
196	541.6965335
197	541.2761215
198	540.6895614
199	540.3152037
200	540.0574499
201	539.7272196
202	539.3849511
203	538.9827025
204	538.7461728
205	538.2448223
206	537.8122513
207	537.5416111
208	536.8578005
209	536.4452357
210	536.3019716
211	536.0270828
212	535.8254462
213	535.4993559
214	535.124852
215	534.9304115
216	534.6942758
217	534.2632768
218	533.663898
219	533.5378313
220	533.3548433
221	532.9104916
222	532.7411077
223	532.4405175
224	532.2797138
225	531.8301294
226	531.379293
227	531.0014828
228	530.6828901
229	530.1552078
230	529.8186321
231	529.4312278
232	529.0944444
233	528.8724931
234	528.5980341
235	528.1724253
236	527.7260206
237	527.4256416
238	527.1810127
239	526.85153
240	526.5629726
241	526.3110627
242	526.095204
243	525.9072891
244	525.5936107
245	525.1332666
246	524.893701
247	524.7494727
248	524.417484
249	524.0973976
250	523.924167
251	523.7881263
252	523.4935565
253	523.1778441
254	522.9601609
255	522.8371815
256	522.5438513
257	522.2121028
258	521.9774529
259	521.7171682
260	521.4368925
261	521.2017173
262	521.0820579
263	520.8753615
264	520.7642329
265	520.3803927
266	520.2828446
267	520.0716618
268	519.8098214
269	519.4884874
270	519.3418614
271	519.2538603
272	518.7615372
273	518.5740379
274	518.3709604
275	518.1989211
276	518.1166444
277	517.8456921
278	517.4538261
279	517.2763801
280	517.0862707
281	516.7405304
282	516.6055042
283	516.4726078
284	516.3815211
285	516.024019
286	515.5738831
287	515.1922716
288	515.1294922
289	514.9989661
290	514.889143
291	514.6974766
292	514.6146125
293	514.4366426
294	514.1235455
295	513.7854479
296	513.4598014
297	513.1425735
298	512.8063863
299	512.3773882
300	512.1954767
301	512.0215819
302	511.6928847
303	511.5434086
304	511.3730875
305	511.0783689
306	511.0215739
307	510.8319771
308	510.5323736
309	510.3764452
310	510.270063
311	509.95559
312	509.8006942
313	509.5729323
314	509.4708688
315	509.165335
316	509.1141169
317	508.8982962
318	508.5883763
319	508.3093126
320	508.2820344
321	508.1776448
322	508.1527872
323	508.0525998
324	508.0037087
325	507.9290345
326	507.9044295
327	507.6082688
328	507.5670934
329	507.4282523
330	507.1488826
331	506.9915368
332	506.7219464
333	506.5480994
334	506.3979133
335	506.280992
336	505.9720205
337	505.8529612
338	505.8117504
339	505.7215751
340	505.3756875
341	505.2518029
342	504.9380459
343	504.6207629
344	504.2861457
345	504.2293785
346	504.0253495
347	503.8557859
348	503.8072362
349	503.4716663
350	503.418166
351	503.1782421
352	502.8918037
353	502.632247
354	502.4474673
355	502.252868
356	502.1531387
357	501.9260587
358	501.7738065
359	501.6161201
360	501.3678109
361	501.2001947
362	500.9208433
363	500.890642
364	500.6962751
365	500.5143229
366	500.3746287
367	500.2212375
368	499.9905101
369	499.8547527
370	499.556878
371	499.2828327
372	499.0001213
373	498.7884008
374	498.5439447
375	498.2285065
376	497.9121038
377	497.6289204
378	497.3293369
379	497.057586
380	496.7498183
381	496.4476335
382	496.244741
383	496.0489997
384	495.9623713
385	495.7453867
386	495.6351082
387	495.4633044
388	495.2304767
389	494.984094
390	494.8572719
391	494.8369172
392	494.6813959
393	494.4580314
394	494.1115057
395	493.9146531
396	493.7937796
397	493.6605575
398	493.4495376
399	493.404015
400	493.3699737
401	493.1179985
402	492.8426594
403	492.622114
404	492.3578211
405	492.0751424
406	491.9354497
407	491.7585333
408	491.477612
409	491.3230728
410	491.1099443
411	490.8137189
412	490.5740846
413	490.3916481
414	490.1895994
415	490.0266043
416	489.8562535
417	489.673159
418	489.4446143
419	489.3504936
420	489.3058606
421	489.0512132
422	488.9171503
423	488.706495
424	488.387735
425	488.1742067
426	488.0455749
427	487.8241374
428	487.5902639
429	487.4632378
430	487.3795953
431	487.1561877
432	486.9718897
433	486.8611707
434	486.7152851
435	486.5066576
436	486.2939162
437	485.9766423
438	485.7523074
439	485.5374823
440	485.2213245
441	485.1794936
442	485.0848584
443	484.8002303
444	484.586521
445	484.5012203
446	484.3942467
447	484.1538679
448	483.9455984
449	483.8596242
450	483.7284028
451	483.6831124
452	483.4360623
453	483.4006587
454	483.2366736
455	483.1514414
456	482.8756395
457	482.6881625
458	482.4172988
459	482.2565281
460	482.1899742
461	482.0359489
462	481.9155697
463	481.7857907
464	481.5769992
465	481.4085987
466	481.2015911
467	481.0756692
468	480.90528
469	480.7306488
470	480.6625965
471	480.5489657
472	480.2984098
473	480.0458631
474	479.9480002
475	479.7647877
476	479.6731827
477	479.4865104
478	479.3998539
479	479.2988448
480	479.0013021
481	478.82955
482	478.63182
483	478.4563105
484	478.3574995
485	478.2760682
486	478.0930999
487	477.934834
488	477.7988073
489	477.6780061
490	477.5566796
491	477.3376945
492	477.1237234
493	476.8772704
494	476.6734278
495	476.5509606
496	476.3830462
497	476.2075956
498	475.9899253
499	475.8518225
500	475.8040305
501	475.6093547
502	475.5033951
503	475.418881
504	475.3892605
505	475.2208918
506	474.9844022
507	474.8537348
508	474.6869707
509	474.5394145
510	474.3459062
511	474.1010093
512	474.0077177
513	473.8192561
514	473.6306621
515	473.5812031
516	473.4846491
517	473.4086527
518	473.2504724
519	473.2154836
520	473.1593383
521	472.9999156
522	472.9313038
523	472.7765764
524	472.6040895
525	472.4602186
526	472.2651284
527	472.1225828
528	471.9776945
529	471.8676073
530	471.6551265
531	471.5330952
532	471.4295013
533	471.2720375
534	471.2314867
535	471.0947521
536	470.8889275
537	470.7955364
538	470.6910634
539	470.4876591
540	470.2853186
541	470.2433094
542	470.1709943
543	470.063192
544	469.8705234
545	469.6036478
546	469.4244732
547	469.1896395
548	469.1624343
549	468.9188754
550	468.8054018
551	468.7399267
552	468.5610719
553	468.4810628
554	468.2600843
555	468.1788275
556	468.1022601
557	468.0633536
558	468.0097264
559	467.9466264
560	467.8521803
561	467.6402785
562	467.504248
563	467.4055866
564	467.2364378
565	467.0242449
566	466.9132581
567	466.7314914
568	466.5073111
569	466.4416499
570	466.3178323
571	466.2576423
572	466.2080597
573	466.1673808
574	466.0671779
575	465.9194984
576	465.7388232
577	465.5863929
578	465.4158311
579	465.2876711
580	465.2120306
581	465.1101198
582	465.0393014
583	464.9825755
584	464.8891823
585	464.7131628
586	464.6527557
587	464.5384347
588	464.4369243
589	464.1707206
590	464.0625341
591	463.9940149
592	463.958275
593	463.8632838
594	463.765454
595	463.6789561
596	463.6418081
597	463.5501837
598	463.469469
599	463.3328093
600	463.0981335
601	463.0176647
602	462.9624454
603	462.9039642
604	462.7825436
605	462.6732623
606	462.6366585
607	462.553081
608	462.4864905
609	462.4195749
610	462.3366957
611	462.2753717
612	462.1056484
613	462.0538732
614	462.0229904
615	461.9075082
616	461.7533125
617	461.7210833
618	461.6301947
619	461.6017665
620	461.4271806
621	461.2715025
622	461.2365645
623	461.1964064
624	460.9758686
625	460.8814147
626	460.7969725
627	460.7412659
628	460.5136997
629	460.3542432
630	460.2588911
631	460.1948288
632	460.127164
633	459.8567054
634	459.7163364
635	459.6460201
636	459.6150554
637	459.4672144
638	459.3340182
639	459.182386
640	459.0919185
641	459.0281121
642	458.8423425
643	458.6947337
644	458.671583
645	458.6307866
646	458.4889987
647	458.4223199
648	458.3795696
649	458.261931
650	458.1806923
651	458.1532819
652	458.0654112
653	457.9765661
654	457.8920881
655	457.7892683
656	457.750039
657	457.6388616
658	457.5993319
659	457.521705
660	457.505456
661	457.3830847
662	457.2599482
663	457.2238452
664	457.1949093
665	457.1339764
666	457.0413835
667	456.9199601
668	456.8452783
669	456.7691472
670	456.697626
671	456.4695452
672	456.3138975
673	456.1372938
674	455.9801933
675	455.7803202
676	455.7225034
677	455.5590015
678	455.5046403
679	455.3740471
680	455.3124965
681	455.1818347
682	455.0608778
683	455.0394041
684	454.9952083
685	454.9454327
686	454.7837503
687	454.6737554
688	454.6395315
689	454.4283317
690	454.2006627
691	454.1465543
692	454.0554289
693	453.9797389
694	453.8700646
695	453.7183076
696	453.6609511
697	453.4635664
698	453.3043294
699	453.1451509
700	452.992208
701	452.9208697
702	452.7757517
703	452.6619253
704	452.4520135
705	452.295443
706	452.2225251
707	452.113436
708	451.9830369
709	451.8775753
710	451.7416144
711	451.6807612
712	451.5591266
713	451.4919588
714	451.428266
715	451.2703399
716	451.0475897
717	450.869417
718	450.7554965
719	450.7150961
720	450.6439998
721	450.5631499
722	450.3991366
723	450.3121474
724	450.253315
725	450.1885443
726	450.0257613
727	449.9864734
728	449.9546184
729	449.8977167
730	449.8526319
731	449.8144023
732	449.7262989
733	449.5232727
734	449.3764064
735	449.2988289
736	449.1369329
737	449.101161
738	448.9657524
739	448.9086086
740	448.817021
741	448.7519177
742	448.6705297
743	448.6416854
744	448.6165468
745	448.5900053
746	448.5279251
747	448.440916
748	448.3825502
749	448.3196285
750	448.2135357
751	448.0973807
752	448.0631027
753	448.0233829
754	447.9535635
755	447.8791224
756	447.7851063
757	447.7004379
758	447.6712436
759	447.6477556
760	447.5915767
761	447.5281506
762	447.4607988
763	447.3907187
764	447.2754055
765	447.1653251
766	447.1170047
767	447.0916371
768	447.0284832
769	446.9050668
770	446.7864874
771	446.7552255
772	446.6757917
773	446.6533275
774	446.5785593
775	446.5246148
776	446.4023696
777	446.2779201
778	446.24641
779	446.184493
780	446.1191314
781	445.9847185
782	445.9180046
783	445.7840926
784	445.667705
785	445.5102765
786	445.4224514
787	445.3579394
788	445.2391304
789	445.0936402
790	444.9131801
791	444.8942382
792	444.7604797
793	444.7033336
794	444.6020617
795	444.4269313
796	444.3035617
797	444.2546981
798	444.1089346
799	443.9779088
800	443.7651836
801	443.6648473
802	443.5964666
803	443.4987081
804	443.3389797
805	443.1952909
806	443.0211238
807	442.9819244
808	442.9553197
809	442.8951624
810	442.7573084
811	442.5907869
812	442.5173406
813	442.3983618
814	442.2643637
815	442.2232895
816	442.1797203
817	442.0587663
818	442.0352967
819	441.9174405
820	441.8145725
821	441.792671
822	441.7572938
823	441.7342812
824	441.6783367
825	441.6179527
826	441.5788961
827	441.4857773
828	441.3663099
829	441.3217933
830	441.2604084
831	441.211221
832	441.1248554
833	441.0406382
834	440.9939614
835	440.9647133
836	440.9324316
837	440.8935114
838	440.8392949
839	440.7945359
840	440.7222998
841	440.6679457
842	440.6244238
843	440.5769086
844	440.5402615
845	440.4783149
846	440.4278202
847	440.3831953
848	440.3309064
849	440.2890515
850	440.2083898
851	440.1327804
852	440.110535
853	440.0166468
854	439.9545654
855	439.8763948
856	439.8593122
857	439.7954924
858	439.7463668
859	439.7084366
860	439.6442638
861	439.5513518
862	439.4677867
863	439.4444934
864	439.4107451
865	439.2514914
866	439.1891105
867	439.0967986
868	438.8900402
869	438.7196996
870	438.7003323
871	438.6683638
872	438.607145
873	438.5348614
874	438.4793826
875	438.4132874
876	438.3672275
877	438.3453786
878	438.3288853
879	438.2100125
880	438.1742662
881	438.120244
882	438.0542398
883	438.0498935
884	438.0115653
885	437.9370554
886	437.8549551
887	437.816537
888	437.7487698
889	437.6701013
890	437.6193572
891	437.564963
892	437.5472719
893	437.5147162
894	437.4248284
895	437.3719407
896	437.3025245
897	437.2394303
898	437.2120657
899	437.1874126
900	437.1109313
901	437.060011
902	437.035034
903	437.0307509
904	437.0126606
905	437.0086998
906	437.0011577
907	436.9956152
908	436.9342913
909	436.8420072
910	436.8276981
911	436.7503526
912	436.7107811
913	436.678303
914	436.658523
915	436.6219659
916	436.6057352
917	436.5554567
918	436.4846434
919	436.4406533
920	436.4035274
921	436.3164761
922	436.2259368
923	436.1006593
924	436.0539717
925	436.0114106
926	435.9344369
927	435.8103197
928	435.6686098
929	435.5992947
930	435.5493003
931	435.4506189
932	435.4336837
933	435.4021924
934	435.2939734
935	435.256731
936	435.188352
937	435.1201477
938	435.1048033
939	435.0570986
940	434.9986056
941	434.9832623
942	434.9616984
943	434.8777674
944	434.8519959
945	434.7164068
946	434.6401233
947	434.5921212
948	434.5061111
949	434.4844948
950	434.4108706
951	434.3207173
952	434.2828133
953	434.2794986
954	434.2700534
955	434.2432205
956	434.2092535
957	434.0723755
958	434.0444496
959	434.0291504
960	433.9842178
961	433.9311252
962	433.8713916
963	433.8326681
964	433.7635662
965	433.7025837
966	433.6383459
967	433.5646515
968	433.4391522
969	433.2519283
970	433.2092894
971	433.1950427
972	433.1484496
973	432.9960264
974	432.9911865
975	432.8909552
976	432.7421045
977	432.7363811
978	432.6296752
979	432.6112731
980	432.5421061
981	432.5269899
982	432.459564
983	432.32791
984	432.2886874
985	432.2311818
986	432.1272806
987	432.0589467
988	432.0345876
989	431.9560937
990	431.9302357
991	431.7621634
992	431.6571257
993	431.6227576
994	431.5567315
995	431.4608329
