iter	Passed	Remaining
0	18	18138
1	23	11778
2	28	9539
3	34	8523
4	39	7836
5	44	7345
6	49	7017
7	54	6785
8	60	6659
9	66	6603
10	72	6526
11	78	6423
12	83	6331
13	88	6216
14	93	6126
15	98	6054
16	103	5957
17	107	5891
18	113	5853
19	118	5785
20	122	5725
21	128	5710
22	133	5665
23	138	5625
24	143	5604
25	149	5594
26	155	5616
27	163	5679
28	168	5626
29	173	5617
30	179	5615
31	184	5577
32	190	5573
33	195	5563
34	200	5537
35	206	5527
36	211	5512
37	216	5480
38	222	5471
39	227	5458
40	232	5444
41	239	5451
42	244	5442
43	250	5443
44	256	5438
45	261	5423
46	267	5430
47	273	5433
48	279	5419
49	284	5407
50	288	5373
51	293	5343
52	298	5327
53	302	5307
54	307	5284
55	312	5271
56	317	5258
57	322	5239
58	327	5229
59	332	5209
60	337	5187
61	343	5189
62	347	5172
63	352	5154
64	358	5151
65	363	5138
66	367	5120
67	373	5113
68	377	5098
69	383	5093
70	388	5083
71	393	5066
72	397	5047
73	401	5026
74	406	5012
75	410	4993
76	415	4975
77	420	4964
78	424	4947
79	428	4932
80	433	4919
81	438	4907
82	442	4892
83	447	4875
84	451	4864
85	456	4847
86	460	4830
87	465	4819
88	469	4804
89	473	4786
90	477	4770
91	482	4766
92	487	4749
93	491	4734
94	496	4727
95	500	4714
96	504	4699
97	508	4684
98	515	4689
99	521	4695
100	528	4700
101	532	4689
102	537	4676
103	542	4676
104	548	4672
105	553	4669
106	558	4665
107	563	4655
108	567	4642
109	573	4636
110	578	4629
111	582	4618
112	587	4610
113	592	4606
114	597	4598
115	602	4588
116	607	4582
117	611	4570
118	616	4561
119	621	4554
120	626	4548
121	631	4541
122	635	4534
123	640	4525
124	645	4516
125	650	4510
126	654	4500
127	658	4489
128	663	4480
129	668	4470
130	672	4459
131	676	4447
132	681	4444
133	686	4438
134	691	4431
135	697	4433
136	702	4427
137	707	4422
138	712	4416
139	717	4409
140	722	4403
141	729	4406
142	734	4399
143	739	4396
144	744	4389
145	749	4383
146	754	4375
147	759	4370
148	763	4361
149	768	4354
150	773	4349
151	778	4341
152	782	4333
153	788	4331
154	793	4323
155	797	4315
156	803	4312
157	807	4303
158	812	4297
159	818	4296
160	823	4291
161	827	4282
162	833	4277
163	837	4269
164	842	4263
165	847	4258
166	852	4252
167	857	4248
168	863	4247
169	868	4240
170	873	4233
171	878	4230
172	883	4223
173	888	4218
174	895	4222
175	900	4217
176	905	4209
177	910	4206
178	915	4201
179	921	4198
180	926	4192
181	931	4187
182	936	4181
183	941	4175
184	946	4169
185	951	4162
186	956	4160
187	961	4154
188	966	4148
189	976	4163
190	981	4157
191	987	4155
192	992	4148
193	997	4142
194	1003	4142
195	1008	4137
196	1013	4130
197	1018	4125
198	1023	4118
199	1027	4110
200	1033	4108
201	1038	4101
202	1043	4095
203	1048	4091
204	1053	4085
205	1057	4077
206	1063	4074
207	1068	4067
208	1072	4060
209	1078	4059
210	1083	4052
211	1088	4045
212	1093	4039
213	1098	4033
214	1102	4026
215	1107	4020
216	1112	4013
217	1116	4006
218	1121	4001
219	1126	3995
220	1131	3987
221	1136	3982
222	1141	3977
223	1146	3970
224	1150	3963
225	1155	3958
226	1160	3951
227	1165	3945
228	1170	3940
229	1175	3934
230	1179	3928
231	1184	3921
232	1189	3914
233	1193	3907
234	1199	3904
235	1206	3904
236	1212	3902
237	1218	3899
238	1223	3896
239	1229	3894
240	1235	3889
241	1240	3886
242	1246	3883
243	1251	3877
244	1257	3873
245	1262	3868
246	1266	3862
247	1271	3854
248	1276	3849
249	1281	3845
250	1285	3837
251	1290	3831
252	1295	3825
253	1300	3819
254	1305	3813
255	1309	3806
256	1314	3799
257	1319	3793
258	1324	3788
259	1328	3781
260	1333	3774
261	1338	3770
262	1342	3762
263	1347	3756
264	1351	3749
265	1356	3741
266	1359	3733
267	1364	3726
268	1368	3719
269	1373	3713
270	1378	3709
271	1383	3703
272	1388	3698
273	1393	3691
274	1398	3687
275	1403	3680
276	1407	3673
277	1412	3669
278	1417	3664
279	1422	3656
280	1426	3650
281	1430	3643
282	1435	3635
283	1439	3628
284	1443	3622
285	1448	3615
286	1452	3608
287	1457	3602
288	1461	3594
289	1465	3587
290	1469	3580
291	1474	3574
292	1477	3566
293	1482	3559
294	1487	3553
295	1491	3546
296	1495	3539
297	1499	3532
298	1504	3527
299	1508	3520
300	1512	3513
301	1517	3506
302	1521	3499
303	1525	3492
304	1529	3485
305	1534	3480
306	1539	3474
307	1545	3471
308	1550	3467
309	1555	3461
310	1559	3453
311	1563	3448
312	1568	3441
313	1572	3435
314	1577	3429
315	1581	3424
316	1586	3418
317	1590	3412
318	1595	3406
319	1600	3400
320	1604	3393
321	1609	3388
322	1613	3381
323	1618	3375
324	1622	3369
325	1627	3364
326	1631	3357
327	1635	3351
328	1640	3345
329	1645	3340
330	1649	3334
331	1655	3330
332	1660	3325
333	1664	3319
334	1669	3314
335	1673	3307
336	1677	3300
337	1682	3294
338	1687	3289
339	1691	3284
340	1696	3278
341	1700	3272
342	1704	3265
343	1709	3259
344	1715	3256
345	1719	3250
346	1724	3244
347	1729	3239
348	1733	3233
349	1737	3227
350	1742	3222
351	1748	3218
352	1753	3213
353	1758	3208
354	1762	3202
355	1767	3197
356	1771	3191
357	1776	3185
358	1780	3179
359	1784	3172
360	1789	3167
361	1794	3162
362	1798	3156
363	1802	3149
364	1807	3144
365	1812	3138
366	1816	3133
367	1821	3128
368	1826	3123
369	1831	3117
370	1835	3112
371	1840	3106
372	1844	3100
373	1848	3094
374	1853	3088
375	1857	3082
376	1861	3076
377	1866	3071
378	1870	3065
379	1875	3059
380	1880	3054
381	1885	3050
382	1890	3045
383	1895	3041
384	1900	3035
385	1904	3030
386	1909	3024
387	1914	3019
388	1918	3013
389	1924	3009
390	1929	3004
391	1933	2998
392	1939	2994
393	1944	2990
394	1948	2985
395	1953	2979
396	1958	2974
397	1962	2968
398	1967	2963
399	1971	2957
400	1976	2951
401	1980	2945
402	1984	2939
403	1989	2935
404	1993	2929
405	1998	2923
406	2003	2918
407	2007	2912
408	2011	2907
409	2015	2900
410	2020	2895
411	2024	2889
412	2029	2884
413	2034	2879
414	2038	2873
415	2042	2867
416	2046	2861
417	2051	2856
418	2055	2850
419	2060	2845
420	2065	2840
421	2070	2835
422	2074	2830
423	2080	2826
424	2085	2821
425	2090	2816
426	2095	2812
427	2100	2806
428	2105	2802
429	2110	2798
430	2115	2792
431	2119	2787
432	2124	2781
433	2128	2776
434	2133	2770
435	2137	2765
436	2142	2759
437	2146	2753
438	2150	2748
439	2155	2743
440	2160	2738
441	2165	2733
442	2170	2729
443	2175	2724
444	2180	2719
445	2185	2714
446	2190	2709
447	2194	2704
448	2199	2699
449	2203	2693
450	2207	2687
451	2212	2681
452	2217	2677
453	2221	2671
454	2225	2665
455	2230	2661
456	2235	2656
457	2240	2650
458	2244	2645
459	2249	2640
460	2253	2634
461	2258	2629
462	2263	2624
463	2268	2620
464	2272	2614
465	2278	2610
466	2282	2605
467	2287	2599
468	2292	2595
469	2296	2589
470	2300	2584
471	2304	2577
472	2309	2573
473	2313	2567
474	2317	2561
475	2322	2556
476	2327	2551
477	2331	2546
478	2336	2540
479	2340	2535
480	2344	2530
481	2348	2524
482	2353	2519
483	2357	2513
484	2361	2507
485	2366	2502
486	2370	2497
487	2375	2491
488	2379	2486
489	2383	2481
490	2388	2475
491	2392	2470
492	2396	2464
493	2402	2460
494	2406	2455
495	2411	2450
496	2416	2446
497	2421	2440
498	2426	2435
499	2431	2431
500	2435	2425
501	2440	2420
502	2445	2416
503	2450	2411
504	2454	2406
505	2460	2401
506	2464	2396
507	2469	2391
508	2473	2386
509	2478	2381
510	2482	2375
511	2486	2370
512	2492	2365
513	2496	2360
514	2500	2354
515	2504	2349
516	2509	2344
517	2513	2338
518	2517	2333
519	2522	2328
520	2527	2323
521	2531	2318
522	2536	2313
523	2541	2308
524	2545	2302
525	2549	2297
526	2555	2293
527	2560	2288
528	2564	2283
529	2570	2279
530	2574	2274
531	2580	2269
532	2584	2264
533	2589	2259
534	2593	2253
535	2598	2249
536	2602	2244
537	2607	2239
538	2613	2234
539	2617	2229
540	2622	2224
541	2627	2220
542	2632	2215
543	2636	2210
544	2641	2205
545	2645	2200
546	2650	2194
547	2654	2189
548	2659	2184
549	2663	2179
550	2667	2173
551	2672	2168
552	2676	2163
553	2681	2159
554	2686	2154
555	2691	2149
556	2695	2143
557	2699	2138
558	2707	2136
559	2711	2130
560	2715	2125
561	2720	2120
562	2725	2115
563	2729	2109
564	2733	2104
565	2737	2099
566	2742	2094
567	2748	2090
568	2752	2085
569	2757	2079
570	2761	2074
571	2783	2082
572	2787	2077
573	2792	2072
574	2797	2067
575	2801	2062
576	2805	2056
577	2810	2051
578	2814	2046
579	2819	2041
580	2823	2036
581	2828	2031
582	2833	2026
583	2838	2021
584	2842	2016
585	2847	2011
586	2851	2006
587	2855	2001
588	2860	1995
589	2864	1990
590	2868	1985
591	2873	1980
592	2878	1975
593	2882	1970
594	2886	1964
595	2890	1959
596	2894	1954
597	2899	1949
598	2904	1944
599	2908	1938
600	2912	1933
601	2918	1929
602	2923	1924
603	2928	1919
604	2932	1914
605	2937	1909
606	2941	1904
607	2946	1899
608	2951	1894
609	2955	1889
610	2960	1885
611	2965	1880
612	2970	1875
613	2975	1870
614	2980	1865
615	2985	1860
616	2989	1855
617	2993	1850
618	2998	1845
619	3002	1840
620	3006	1834
621	3011	1830
622	3015	1824
623	3019	1819
624	3024	1814
625	3028	1809
626	3032	1804
627	3037	1799
628	3042	1794
629	3046	1789
630	3050	1783
631	3054	1778
632	3059	1773
633	3063	1768
634	3067	1763
635	3072	1758
636	3077	1753
637	3081	1748
638	3086	1743
639	3091	1739
640	3096	1734
641	3101	1729
642	3105	1724
643	3110	1719
644	3116	1715
645	3121	1710
646	3125	1705
647	3131	1700
648	3136	1696
649	3141	1691
650	3147	1687
651	3152	1682
652	3157	1677
653	3161	1672
654	3166	1667
655	3170	1662
656	3174	1657
657	3179	1652
658	3183	1647
659	3188	1642
660	3192	1637
661	3197	1632
662	3201	1627
663	3205	1621
664	3209	1617
665	3214	1612
666	3218	1606
667	3223	1601
668	3227	1596
669	3232	1591
670	3236	1586
671	3241	1582
672	3245	1576
673	3249	1571
674	3254	1566
675	3259	1562
676	3263	1557
677	3269	1552
678	3274	1548
679	3279	1543
680	3284	1538
681	3289	1533
682	3293	1528
683	3298	1523
684	3303	1519
685	3307	1514
686	3312	1509
687	3317	1504
688	3322	1499
689	3326	1494
690	3331	1489
691	3336	1484
692	3340	1479
693	3344	1474
694	3349	1469
695	3353	1464
696	3357	1459
697	3362	1454
698	3366	1449
699	3371	1444
700	3375	1439
701	3380	1435
702	3384	1429
703	3388	1424
704	3393	1420
705	3398	1415
706	3402	1410
707	3407	1405
708	3411	1400
709	3415	1395
710	3419	1390
711	3424	1385
712	3428	1380
713	3433	1375
714	3439	1370
715	3444	1366
716	3448	1361
717	3453	1356
718	3457	1351
719	3461	1346
720	3466	1341
721	3471	1336
722	3476	1331
723	3480	1326
724	3485	1322
725	3489	1317
726	3494	1312
727	3500	1307
728	3505	1302
729	3510	1298
730	3515	1293
731	3520	1288
732	3525	1284
733	3530	1279
734	3534	1274
735	3538	1269
736	3542	1264
737	3547	1259
738	3551	1254
739	3555	1249
740	3560	1244
741	3565	1239
742	3570	1235
743	3575	1230
744	3580	1225
745	3585	1220
746	3591	1216
747	3595	1211
748	3601	1206
749	3607	1202
750	3611	1197
751	3616	1192
752	3621	1188
753	3626	1183
754	3631	1178
755	3636	1173
756	3641	1168
757	3645	1163
758	3650	1159
759	3655	1154
760	3659	1149
761	3665	1144
762	3670	1140
763	3675	1135
764	3680	1130
765	3685	1125
766	3690	1120
767	3694	1116
768	3700	1111
769	3705	1106
770	3710	1102
771	3715	1097
772	3719	1092
773	3724	1087
774	3729	1082
775	3734	1077
776	3739	1073
777	3744	1068
778	3749	1063
779	3753	1058
780	3759	1054
781	3763	1049
782	3768	1044
783	3775	1040
784	3780	1035
785	3786	1030
786	3791	1026
787	3796	1021
788	3800	1016
789	3805	1011
790	3810	1006
791	3814	1001
792	3820	997
793	3824	992
794	3829	987
795	3834	982
796	3839	977
797	3843	972
798	3849	968
799	3855	963
800	3859	958
801	3865	954
802	3870	949
803	3874	944
804	3880	940
805	3885	935
806	3890	930
807	3895	925
808	3900	920
809	3905	916
810	3910	911
811	3915	906
812	3920	901
813	3925	896
814	3930	892
815	3934	887
816	3940	882
817	3945	877
818	3962	875
819	3969	871
820	3978	867
821	3983	862
822	3989	857
823	3993	853
824	3997	848
825	4002	843
826	4007	838
827	4012	833
828	4017	828
829	4021	823
830	4026	818
831	4031	814
832	4036	809
833	4040	804
834	4045	799
835	4051	794
836	4056	789
837	4060	784
838	4065	780
839	4069	775
840	4074	770
841	4079	765
842	4084	760
843	4088	755
844	4093	750
845	4098	746
846	4103	741
847	4108	736
848	4112	731
849	4117	726
850	4122	721
851	4127	717
852	4132	712
853	4136	707
854	4141	702
855	4146	697
856	4150	692
857	4155	687
858	4159	682
859	4164	677
860	4169	673
861	4174	668
862	4178	663
863	4182	658
864	4187	653
865	4192	648
866	4196	643
867	4202	639
868	4207	634
869	4211	629
870	4215	624
871	4219	619
872	4223	614
873	4228	609
874	4233	604
875	4237	599
876	4241	594
877	4246	590
878	4250	585
879	4254	580
880	4258	575
881	4263	570
882	4267	565
883	4271	560
884	4276	555
885	4280	550
886	4284	545
887	4289	541
888	4294	536
889	4299	531
890	4304	526
891	4308	521
892	4312	516
893	4317	511
894	4322	507
895	4327	502
896	4332	497
897	4337	492
898	4341	487
899	4346	482
900	4351	478
901	4356	473
902	4360	468
903	4365	463
904	4370	458
905	4374	453
906	4378	448
907	4384	444
908	4389	439
909	4394	434
910	4399	429
911	4404	424
912	4408	420
913	4414	415
914	4419	410
915	4424	405
916	4429	400
917	4434	396
918	4438	391
919	4443	386
920	4448	381
921	4452	376
922	4457	371
923	4462	367
924	4467	362
925	4472	357
926	4477	352
927	4481	347
928	4486	342
929	4490	338
930	4495	333
931	4500	328
932	4504	323
933	4509	318
934	4514	313
935	4520	309
936	4524	304
937	4529	299
938	4534	294
939	4539	289
940	4543	284
941	4548	280
942	4552	275
943	4557	270
944	4561	265
945	4566	260
946	4570	255
947	4574	250
948	4579	246
949	4583	241
950	4587	236
951	4592	231
952	4596	226
953	4600	221
954	4604	216
955	4609	212
956	4613	207
957	4617	202
958	4622	197
959	4627	192
960	4632	188
961	4639	183
962	4643	178
963	4648	173
964	4652	168
965	4657	163
966	4661	159
967	4666	154
968	4671	149
969	4675	144
970	4680	139
971	4685	134
972	4689	130
973	4694	125
974	4699	120
975	4704	115
976	4708	110
977	4714	106
978	4719	101
979	4724	96
980	4729	91
981	4733	86
982	4738	81
983	4742	77
984	4747	72
985	4751	67
986	4755	62
987	4761	57
988	4765	53
989	4770	48
990	4775	43
991	4780	38
992	4784	33
993	4789	28
994	4794	24
995	4799	19
996	4805	14
997	4810	9
998	4815	4
999	4820	0
